,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
2,mandelbrot,lasdpc,5000,Normal,0.00234429404133322 0.00104809442867466,-2176.9372240961998,-10884.686120481,-10880.686120481,-10880.6740843727,-10876.9555415454,-10870.8706099231,0.0243333333346527
3,mandelbrot,lasdpc,5000,T.Normal,0.00234429404133322 0.00104809442867466,-2182.03043877147,-10910.1521938574,-10906.1521938574,-10906.140157749,-10902.4216149217,-10896.3366832994,0.28133333332759003
4,mandelbrot,lasdpc,5000,Lognormal,-6.25842994141802 0.836525859779837,-2005.05806019298,-10035.979972972,-10031.979972972,-10031.9679368637,-10028.2493940363,-10022.164462414,0.0143333333301901
5,mandelbrot,lasdpc,5000,OLL-GG,0.00436934639606682 1.97905168360021 0.546374534181724 1.68046479776056,-2147.93137158776,-10739.6568579388,-10731.6568579388,-10731.6166569338,-10724.1957000675,-10712.0258368229,1.12024999999903
6,mandelbrot,lasdpc,5000,Kw-CWG,0.00965538604147239 0.733765774534448 838.239612376383 1.60901939292424 131.806428477561,-2175.6245837581,-10901.2386422974,-10891.2386422974,-10891.178280124399,-10881.912194958199,-10866.6998659025,28.30191761176504
7,mandelbrot,lasdpc,5000,G.Gamma,0.00381024811333955 3.61963754330203 0.423120971682443,-2164.77144518895,-10823.8572259447,-10817.8572259447,-10817.8331295592,-10812.2613575412,-10803.1339601078,0.14770370370415198
8,mandelbrot,lasdpc,5000,E.Weibull,2.93275216713918 0.00334407470696899 0.595015520935269,-2160.49122557372,-10787.8142138527,-10781.8142138527,-10781.7901174672,-10776.2183454492,-10767.090948015799,0.25522222222234303
0,mandelbrot,halley,30000,Gamma,5.33923248960944 0.00260021742880235,-1536.5035252186499,-7682.517626093241,-7678.517626093241,-7678.505589984909,-7674.78704715758,-7668.7021155352695,0.0897333333326969
1,mandelbrot,halley,30000,Weibull,4.20671914413399 0.0147640609146196,-1647.76768074069,-8311.2385709287,-8307.2385709287,-8307.22653482037,-8303.50799199303,-8297.42306037073,0.0860666666664959
2,mandelbrot,halley,30000,Normal,0.013697415232939 0.00350201518858298,-1694.2798708359803,-8471.95634961285,-8467.95634961285,-8467.94431350452,-8464.22577067718,-8458.140839054879,0.0286666666652309
