algorithm,machine,problem size,time
dijkstra,andromeda,500K,0.327341850
dijkstra,andromeda,500K,0.326138101
dijkstra,andromeda,500K,0.327865603
dijkstra,andromeda,500K,0.324221608
dijkstra,andromeda,500K,0.323687109
dijkstra,andromeda,500K,0.323077781
dijkstra,andromeda,500K,0.322810370
dijkstra,andromeda,500K,0.325171908
dijkstra,andromeda,500K,0.327097666
dijkstra,andromeda,500K,0.324960048
dijkstra,andromeda,500K,0.325712859
dijkstra,andromeda,500K,0.324650905
dijkstra,andromeda,500K,0.322235116
dijkstra,andromeda,500K,0.322310773
dijkstra,andromeda,500K,0.326989432
dijkstra,andromeda,500K,0.327199262
dijkstra,andromeda,500K,0.323590118
dijkstra,andromeda,500K,0.325675517
dijkstra,andromeda,500K,0.322629675
dijkstra,andromeda,500K,0.328875056
dijkstra,andromeda,500K,0.330184862
dijkstra,andromeda,500K,0.325938410
dijkstra,andromeda,500K,0.326542928
dijkstra,andromeda,500K,0.326211067
dijkstra,andromeda,500K,0.326073069
dijkstra,andromeda,500K,0.325068652
dijkstra,andromeda,500K,0.325595967
dijkstra,andromeda,500K,0.328106484
dijkstra,andromeda,500K,0.326347455
dijkstra,andromeda,500K,0.324547792
dijkstra,andromeda,500K,0.322151145
dijkstra,andromeda,500K,0.325499009
dijkstra,andromeda,500K,0.326289118
dijkstra,andromeda,500K,0.322926631
dijkstra,andromeda,500K,0.323354246
dijkstra,andromeda,500K,0.327556091
dijkstra,andromeda,500K,0.324446294
dijkstra,andromeda,500K,0.330063592
dijkstra,andromeda,500K,0.323050012
dijkstra,andromeda,500K,0.328991151
dijkstra,andromeda,500K,0.327169680
dijkstra,andromeda,500K,0.328726216
dijkstra,andromeda,500K,0.327694107
dijkstra,andromeda,500K,0.330782908
dijkstra,andromeda,500K,0.329713526
dijkstra,andromeda,500K,0.326512784
dijkstra,andromeda,500K,0.327020459
dijkstra,andromeda,500K,0.329323548
dijkstra,andromeda,500K,0.329514013
dijkstra,andromeda,500K,0.327631287
dijkstra,andromeda,500K,0.325016855
dijkstra,andromeda,500K,0.327107316
dijkstra,andromeda,500K,0.324613577
dijkstra,andromeda,500K,0.329555665
dijkstra,andromeda,500K,0.327102045
dijkstra,andromeda,500K,0.326819053
dijkstra,andromeda,500K,0.328896103
dijkstra,andromeda,500K,0.324325420
dijkstra,andromeda,500K,0.327217257
dijkstra,andromeda,500K,0.327059656
dijkstra,andromeda,500K,0.326298799
dijkstra,andromeda,500K,0.325707525
dijkstra,andromeda,500K,0.328776253
dijkstra,andromeda,500K,0.325095538
dijkstra,andromeda,500K,0.324665692
dijkstra,andromeda,500K,0.326631158
dijkstra,andromeda,500K,0.327054130
dijkstra,andromeda,500K,0.327050571
dijkstra,andromeda,500K,0.328084434
dijkstra,andromeda,500K,0.325199840
dijkstra,andromeda,500K,0.326809119
dijkstra,andromeda,500K,0.327951632
dijkstra,andromeda,500K,0.327251910
dijkstra,andromeda,500K,0.326108868
dijkstra,andromeda,500K,0.325420187
dijkstra,andromeda,500K,0.325530674
dijkstra,andromeda,500K,0.328258858
dijkstra,andromeda,500K,0.324341589
dijkstra,andromeda,500K,0.326017578
dijkstra,andromeda,500K,0.330679993
dijkstra,andromeda,500K,0.329047223
dijkstra,andromeda,500K,0.327513645
dijkstra,andromeda,500K,0.323883674
dijkstra,andromeda,500K,0.326092131
dijkstra,andromeda,500K,0.327157618
dijkstra,andromeda,500K,0.327585764
dijkstra,andromeda,500K,0.323517227
dijkstra,andromeda,500K,0.328041286
dijkstra,andromeda,500K,0.331382282
dijkstra,andromeda,500K,0.327164540
dijkstra,andromeda,500K,0.328736109
dijkstra,andromeda,500K,0.325137803
dijkstra,andromeda,500K,0.327787361
dijkstra,andromeda,500K,0.326824458
dijkstra,andromeda,500K,0.327322644
dijkstra,andromeda,500K,0.326909286
dijkstra,andromeda,500K,0.326430826
dijkstra,andromeda,500K,0.325929198
dijkstra,andromeda,500K,0.331882717
dijkstra,andromeda,500K,0.326799830
dijkstra,andromeda,500K,0.326284421
dijkstra,andromeda,500K,0.326673285
dijkstra,andromeda,500K,0.324861834
dijkstra,andromeda,500K,0.325704114
dijkstra,andromeda,500K,0.328596056
dijkstra,andromeda,500K,0.326241701
dijkstra,andromeda,500K,0.327314645
dijkstra,andromeda,500K,0.331475105
dijkstra,andromeda,500K,0.328175351
dijkstra,andromeda,500K,0.326484755
dijkstra,andromeda,500K,0.325136096
dijkstra,andromeda,500K,0.327289014
dijkstra,andromeda,500K,0.324524309
dijkstra,andromeda,500K,0.329743204
dijkstra,andromeda,500K,0.331854022
dijkstra,andromeda,500K,0.326499854
dijkstra,andromeda,500K,0.326872484
dijkstra,andromeda,500K,0.326499360
dijkstra,andromeda,500K,0.328686431
dijkstra,andromeda,500K,0.325249162
dijkstra,andromeda,500K,0.326639883
dijkstra,andromeda,500K,0.326022657
dijkstra,andromeda,500K,0.327199194
dijkstra,andromeda,500K,0.327105572
dijkstra,andromeda,500K,0.324007512
dijkstra,andromeda,500K,0.323213060
dijkstra,andromeda,500K,0.325422381
dijkstra,andromeda,500K,0.329408989
dijkstra,andromeda,500K,0.325696113
dijkstra,andromeda,500K,0.326878127
dijkstra,andromeda,500K,0.325667681
dijkstra,andromeda,500K,0.326162984
dijkstra,andromeda,500K,0.325982222
dijkstra,andromeda,500K,0.325337300
dijkstra,andromeda,500K,0.326334725
dijkstra,andromeda,500K,0.326153204
dijkstra,andromeda,500K,0.327752796
dijkstra,andromeda,500K,0.329108100
dijkstra,andromeda,500K,0.326221191
dijkstra,andromeda,500K,0.330648072
dijkstra,andromeda,500K,0.326623027
dijkstra,andromeda,500K,0.330625265
dijkstra,andromeda,500K,0.325853803
dijkstra,andromeda,500K,0.327603615
dijkstra,andromeda,500K,0.329205738
dijkstra,andromeda,500K,0.328693009
dijkstra,andromeda,500K,0.322996348
dijkstra,andromeda,500K,0.325294416
dijkstra,andromeda,500K,0.328526312
dijkstra,andromeda,500K,0.324826665
dijkstra,andromeda,500K,0.334431266
dijkstra,andromeda,500K,0.329282130
dijkstra,andromeda,500K,0.326365522
dijkstra,andromeda,500K,0.329232108
dijkstra,andromeda,500K,0.324573188
dijkstra,andromeda,500K,0.327867393
dijkstra,andromeda,500K,0.327273074
dijkstra,andromeda,500K,0.327351261
dijkstra,andromeda,500K,0.326235589
dijkstra,andromeda,500K,0.318559545
dijkstra,andromeda,500K,0.330645578
dijkstra,andromeda,500K,0.324588378
